,bicycle,boat,bus,car,helicopter,minibus,motorcycle,taxi,train,truck
bicycle,139,11,0,4,4,0,21,0,5,0
boat,15,681,26,49,22,12,22,22,51,21
bus,1,6,401,10,1,18,1,8,18,21
car,15,63,16,519,15,86,33,80,29,100
helicopter,0,5,1,1,66,0,0,2,1,0
minibus,0,4,7,24,0,108,0,10,2,21
motorcycle,56,6,1,15,3,0,422,6,11,10
taxi,1,3,1,10,0,6,1,76,2,2
train,2,13,10,2,3,2,4,1,156,9
truck,2,24,34,58,1,28,5,12,38,241
