,bicycle,boat,bus,car,helicopter,minibus,motorcycle,taxi,train,truck
bicycle,146,5,0,3,2,0,23,0,4,1
boat,19,713,22,41,10,10,28,21,32,25
bus,0,6,405,7,0,22,3,7,10,25
car,15,72,8,564,7,76,37,61,14,102
helicopter,1,8,0,0,63,0,1,1,1,1
minibus,0,4,4,22,0,126,0,9,3,8
motorcycle,53,7,0,8,1,0,447,3,5,6
taxi,0,3,2,16,0,4,1,75,0,1
train,1,12,5,3,0,2,2,2,161,14
truck,3,25,27,54,1,36,9,9,18,261
