class,precision,recall,f1_score,support
bicycle,0.5817490494296578,0.8315217391304348,0.6845637583892618,184.0
boat,0.7976570820021299,0.8132464712269273,0.8053763440860215,921.0
bus,0.8428571428571429,0.8515463917525773,0.8471794871794872,485.0
car,0.7909215955983494,0.6014644351464435,0.6833036244800951,956.0
helicopter,0.6804123711340206,0.868421052631579,0.7630057803468208,76.0
minibus,0.5267857142857143,0.6704545454545454,0.59,176.0
motorcycle,0.8633405639913232,0.7509433962264151,0.8032290615539859,530.0
taxi,0.45294117647058824,0.7549019607843137,0.5661764705882353,102.0
train,0.5636363636363636,0.7673267326732673,0.649895178197065,202.0
truck,0.5967365967365967,0.5778781038374717,0.5871559633027523,443.0
